InventoryID,Glottocode,ISO6393,LanguageName,SpecificDialect,GlyphID,Phoneme,Allophones,Marginal,SegmentClass,Source,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,raisedLarynxEjective,loweredLarynxImplosive,click
1319,xhos1239,xho,Xhosa,NA,006D+0324+0062+0324+0076+0324,m̤b̤v̤,m̤b̤v̤,FALSE,consonant,gm,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-",-,+,-,+,-,0,0,0,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
1319,xhos1239,xho,Xhosa,NA,006E+0074+006C+02BC,ntlʼ,ntlʼ,FALSE,consonant,gm,0,-,-,-,-,+,"+,-,+","-,-,+",-,"-,-,+",-,-,"+,-,-","-,-,+",-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,"+,-,-",-,-,"-,-,+",-,"-,-,+",-,-
1319,xhos1239,xho,Xhosa,NA,006E+0074+0073+02BC,ntsʼ,ntsʼ,FALSE,consonant,gm,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-",-,-,0,0,+,+,-,+,-,0,0,0,0,0,0,0,"+,-",-,-,+,-,+,-,-
1319,xhos1239,xho,Xhosa,NA,006E+0074+02BC,ntʼ,ntʼ,FALSE,consonant,gm,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,"+,-",-,-,"-,+",-,"-,+",-,-
1319,xhos1239,xho,Xhosa,NA,006E+0320+0074+0320+0283+02BC,n̠t̠ʃʼ,n̠t̠ʃʼ,FALSE,consonant,gm,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-",-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,"+,-",-,-,+,-,+,-,-
1319,xhos1239,xho,Xhosa,NA,006E+0320+0324+0064+0320+0324+0292,n̠̤d̠̤ʒ,n̠̤d̠̤ʒ,FALSE,consonant,gm,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-",-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
1319,xhos1239,xho,Xhosa,NA,006E+0324+0064+0324+007A+0324,n̤d̤z̤,n̤d̤z̤,FALSE,consonant,gm,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-",-,-,0,0,+,+,-,+,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
1319,xhos1239,xho,Xhosa,NA,007A+0324,z̤,z̤,FALSE,consonant,gm,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,+,-,+,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
1319,xhos1239,xho,Xhosa,NA,014B+006B+02BC,ŋkʼ,ŋkʼ,FALSE,consonant,gm,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,"+,-",-,-,"-,+",-,"-,+",-,-
1319,xhos1239,xho,Xhosa,NA,014B+01C0,ŋǀ,ŋǀ,FALSE,consonant,gm,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,-,0,0,"-,+",+,+,-,"+,-",+,-,-,-,0,0,0,"+,-",-,-,-,-,-,-,"-,+"
1319,xhos1239,xho,Xhosa,NA,014B+01C1,ŋǁ,ŋǁ,FALSE,consonant,gm,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-","-,+",-,0,0,"-,+",+,-,-,"+,-",+,-,-,-,0,0,0,"+,-",-,-,-,-,-,-,"-,+"
1319,xhos1239,xho,Xhosa,NA,014B+01C1+02BC,ŋǁʼ,ŋǁʼ,FALSE,consonant,gm,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-","-,+",-,0,0,"-,+",+,-,-,"+,-",+,-,-,-,0,0,0,"+,-",-,-,"-,+",-,"-,+",-,"-,+"
1319,xhos1239,xho,Xhosa,NA,014B+01C3+02BC,ŋǃʼ,ŋǃʼ,FALSE,consonant,gm,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,-,0,0,"-,+",+,-,-,"+,-",+,-,-,-,0,0,0,"+,-",-,-,"-,+",-,"-,+",-,"-,+"
1319,xhos1239,xho,Xhosa,NA,014B+0324+01C0,ŋ̤ǀ,ŋ̤ǀ,FALSE,consonant,gm,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,-,0,0,"-,+",+,+,-,"+,-",+,-,-,-,0,0,0,"+,-",-,"+,-",-,-,-,-,"-,+"
1319,xhos1239,xho,Xhosa,NA,014B+0324+01C1,ŋ̤ǁ,ŋ̤ǁ,FALSE,consonant,gm,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-","-,+",-,0,0,"-,+",+,-,-,"+,-",+,-,-,-,0,0,0,"+,-",-,"+,-",-,-,-,-,"-,+"
1319,xhos1239,xho,Xhosa,NA,014B+0324+0261+0324,ŋ̤ɡ̤,ŋ̤ɡ̤,FALSE,consonant,gm,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,+,-,+,-,-,-,-,-
1319,xhos1239,xho,Xhosa,NA,025F+0324,ɟ̤,ɟ̤,FALSE,consonant,gm,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,+,-,+,-,-,-,-,-
1319,xhos1239,xho,Xhosa,NA,0261+0324+01C0,ɡ̤ǀ,ɡ̤ǀ,FALSE,consonant,gm,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,"-,+",+,+,-,"+,-",+,-,-,-,0,0,0,"+,-",-,"+,-",-,-,-,-,"-,+"
1319,xhos1239,xho,Xhosa,NA,0261+0324+01C1,ɡ̤ǁ,ɡ̤ǁ,FALSE,consonant,gm,0,-,-,-,-,+,-,-,-,-,-,-,-,"-,+",-,0,0,"-,+",+,-,-,"+,-",+,-,-,-,0,0,0,"+,-",-,"+,-",-,-,-,-,"-,+"
1319,xhos1239,xho,Xhosa,NA,0263+0324,ɣ̤,ɣ̤,FALSE,consonant,gm,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,+,-,+,-,-,-,-,-
1319,xhos1239,xho,Xhosa,NA,026E+0324,ɮ̤,ɮ̤,FALSE,consonant,gm,0,-,-,-,-,+,-,+,+,-,-,-,-,+,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
1319,xhos1239,xho,Xhosa,NA,0272+0063+02BC,ɲcʼ,ɲcʼ,FALSE,consonant,gm,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,"+,-",-,-,"-,+",-,"-,+",-,-
1319,xhos1239,xho,Xhosa,NA,0272+0324,ɲ̤,ɲ̤,FALSE,consonant,gm,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,+,-,+,-,-,-,-,-
1319,xhos1239,xho,Xhosa,NA,0272+0324+025F+0324,ɲ̤ɟ̤,ɲ̤ɟ̤,FALSE,consonant,gm,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,+,-,+,-,-,-,-,-
1323,cher1271,cpn,Hill Guang,NA,006C+032A+02B7,l̪ʷ,l̪ʷ,FALSE,consonant,gm,0,-,-,-,-,+,+,+,0,+,-,-,-,+,+,+,-,+,+,+,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
1324,palo1243,fap,Ndut-Falor,NA,0061+02D1,aˑ,aˑ əˑ,FALSE,vowel,gm,0,-,+,+,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,+,-,-,0,-,-,+,-,-,-,0,-,-,0
1324,palo1243,fap,Ndut-Falor,NA,0065+02D1,eˑ,eˑ ɛˑ,FALSE,vowel,gm,0,-,+,+,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,-,+,-,+,-,-,+,-,-,-,0,-,-,0
1324,palo1243,fap,Ndut-Falor,NA,0069+02D1,iˑ,iˑ ɪˑ,FALSE,vowel,gm,0,-,+,+,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,-,-,+,-,-,-,0,-,-,0
1324,palo1243,fap,Ndut-Falor,NA,006F+02D1,oˑ,oˑ ɔˑ,FALSE,vowel,gm,0,-,+,+,+,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,+,-,-,+,-,-,-,0,-,-,0
1324,palo1243,fap,Ndut-Falor,NA,0075+02D1,uˑ,uˑ ʊˑ,FALSE,vowel,gm,0,-,+,+,+,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,+,+,-,-,+,-,-,-,0,-,-,0
1336,budu1250,buu,Kibudu,NA,0272+025F+0291,ɲɟʑ,ɲɟʑ,FALSE,consonant,gm,0,-,-,-,-,+,"+,-,-","-,-,+","0,-,+",-,-,-,"+,-,-",-,-,0,0,+,"-,-,+",+,"-,-,+",+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-
1339,keli1248,kbo,Kaliko,NA,0273+0256+0072,ɳɖr,ɳɖr,FALSE,consonant,gm,0,-,-,-,-,+,"+,-,+","-,-,+",-,"-,-,+",-,"-,-,+","+,-,-",-,-,0,0,+,"-,-,+",-,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
1346,kuoo1238,xuo,Kuo,NA,006A+0294,jʔ,jʔ,FALSE,consonant,gm,0,-,-,-,-,"-,+","+,-","+,-",-,"+,-",-,-,-,-,-,0,0,-,0,0,0,"+,-",+,-,+,-,+,0,0,"+,-",-,-,"-,+",-,-,-,-
1351,kara1483,kdj,Karimojong,NA,0079+0324,y̤,y̤,FALSE,vowel,gm,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,+,-,+,-,+,-,-,+,-,+,-,0,-,-,0
1351,kara1483,kdj,Karimojong,NA,0153+0324,œ̤,œ̤,FALSE,vowel,gm,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,-,+,-,-,-,-,+,-,+,-,0,-,-,0
1351,kara1483,kdj,Karimojong,NA,026A+0324,ɪ̤,ɪ̤,FALSE,vowel,gm,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,-,-,-,+,-,+,-,0,-,-,0
1351,kara1483,kdj,Karimojong,NA,0275+02D0,ɵː,ɵː,FALSE,vowel,gm,0,-,+,-,+,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,-,+,-,-,+,-,-,-,0,-,-,0
1357,gwan1268,gwn,Gwandara (Nimbia),NA,006B+1DA3,kᶣ,kᶣ,FALSE,consonant,gm,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,0,0,0,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-
1357,gwan1268,gwn,Gwandara (Nimbia),NA,0072+1DA3,rᶣ,rᶣ,FALSE,consonant,gm,0,-,-,-,-,+,+,+,0,+,-,+,-,-,+,+,-,+,+,-,-,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-
1359,shil1265,shk,Shilluk,NA,006D+032A,m̪,m̪,FALSE,consonant,gm,0,-,-,-,-,+,+,-,0,-,-,-,+,-,+,-,-,+,+,+,0,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
1359,shil1265,shk,Shilluk,NA,0070+032A,p̪,p̪,FALSE,consonant,gm,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,+,+,+,0,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
1359,shil1265,shk,Shilluk,NA,0074+00E7,tç,tç,FALSE,consonant,gm,0,-,-,-,-,+,-,"-,+","-,+",-,-,-,-,-,-,0,0,+,"+,-","-,+",-,"-,+",+,-,+,-,0,0,0,-,-,-,-,-,-,-,-
1359,shil1265,shk,Shilluk,NA,0065+0325,e̥,e̥,FALSE,vowel,gm,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,-,+,-,+,-,-,-,-,-,-,0,-,-,0
1359,shil1265,shk,Shilluk,NA,0065+0325+02D0,e̥ː,e̥ː,FALSE,vowel,gm,0,-,+,-,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,-,+,-,+,-,-,-,-,-,-,0,-,-,0
1362,bora1271,gax,Galla,NA,1D91+02BC,ᶑʼ,ᶑʼ,FALSE,consonant,gm,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,-,-,-,-,0,0,0,0,0,0,0,-,-,-,+,-,+,-,-
1363,hadi1240,hdy,Hadiyya,NA,0063+02BC+02D0,cʼː,cʼː,FALSE,consonant,gm,0,-,-,-,+,+,-,-,-,-,-,-,-,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,-,-,-,+,-,+,-,-
1363,hadi1240,hdy,Hadiyya,NA,1D91+02BC+02D0,ᶑʼː,ᶑʼː,FALSE,consonant,gm,0,-,-,-,+,+,-,-,-,-,-,-,-,-,-,0,0,+,-,-,-,-,0,0,0,0,0,0,0,-,-,-,+,-,+,-,-
1365,kuny1238,njx,Nyanga,NA,006E+0320+0074+0320+0283+02B7,n̠t̠ʃʷ,n̠t̠ʃʷ,FALSE,consonant,gm,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-",-,+,+,-,+,-,+,+,-,0,0,0,0,0,0,0,"+,-",-,-,-,-,-,-,-
1372,tada1238,dsq,Tadaksahak,NA,006E+02E4,nˤ,nˤ,FALSE,consonant,gm,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,+,+,-,-,-,0,0,0,0,0,+,-,+,-,-,-,-,-,-,-
